,Team 0,Team 1,Winner
0,Freecs,Bbq_Olivers,0
1,Freecs,Bbq_Olivers,1
2,Freecs,Gen.G,0
3,Freecs,Gen.G,1
4,Freecs,Griffin,0
5,Freecs,Griffin,1
6,Freecs,Hanwha_Life_Esports,1
7,Freecs,Hanwha_Life_Esports,1
8,Freecs,JAG,0
9,Freecs,JAG,0
10,Freecs,Kingzone_DragonX,1
11,Freecs,Kingzone_DragonX,1
12,Freecs,KTRolster,0
13,Freecs,KTRolster,1
14,Freecs,MVP,0
15,Freecs,MVP,0
16,Freecs,SKT1,0
17,Freecs,SKT1,0
18,Bbq_Olivers,Gen.G,1
19,Bbq_Olivers,Gen.G,1
20,Bbq_Olivers,Griffin,1
21,Bbq_Olivers,Griffin,1
22,Bbq_Olivers,Hanwha_Life_Esports,1
23,Bbq_Olivers,Hanwha_Life_Esports,1
24,Bbq_Olivers,JAG,0
25,Bbq_Olivers,JAG,1
26,Bbq_Olivers,Kingzone_DragonX,1
27,Bbq_Olivers,Kingzone_DragonX,1
28,Bbq_Olivers,KTRolster,1
29,Bbq_Olivers,KTRolster,1
30,Bbq_Olivers,MVP,1
31,Bbq_Olivers,MVP,1
32,Bbq_Olivers,SKT1,1
33,Bbq_Olivers,SKT1,1
34,Gen.G,Griffin,0
35,Gen.G,Griffin,1
36,Gen.G,Hanwha_Life_Esports,0
37,Gen.G,Hanwha_Life_Esports,0
38,Gen.G,JAG,0
39,Gen.G,JAG,0
40,Gen.G,Kingzone_DragonX,0
41,Gen.G,Kingzone_DragonX,0
42,Gen.G,KTRolster,1
43,Gen.G,KTRolster,1
44,Gen.G,MVP,0
45,Gen.G,MVP,0
46,Gen.G,SKT1,0
47,Gen.G,SKT1,1
48,Griffin,Hanwha_Life_Esports,0
49,Griffin,Hanwha_Life_Esports,0
50,Griffin,JAG,0
51,Griffin,JAG,1
52,Griffin,Kingzone_DragonX,0
53,Griffin,Kingzone_DragonX,0
54,Griffin,KTRolster,1
55,Griffin,KTRolster,1
56,Griffin,MVP,0
57,Griffin,MVP,0
58,Griffin,SKT1,0
59,Griffin,SKT1,0
60,Hanwha_Life_Esports,JAG,0
61,Hanwha_Life_Esports,JAG,0
62,Hanwha_Life_Esports,Kingzone_DragonX,1
63,Hanwha_Life_Esports,Kingzone_DragonX,1
64,Hanwha_Life_Esports,KTRolster,0
65,Hanwha_Life_Esports,KTRolster,1
66,Hanwha_Life_Esports,MVP,0
67,Hanwha_Life_Esports,MVP,0
68,Hanwha_Life_Esports,SKT1,0
69,Hanwha_Life_Esports,SKT1,1
70,JAG,Kingzone_DragonX,0
71,JAG,Kingzone_DragonX,1
72,JAG,KTRolster,1
73,JAG,KTRolster,1
74,JAG,MVP,0
75,JAG,MVP,1
76,JAG,SKT1,1
77,JAG,SKT1,1
78,Kingzone_DragonX,KTRolster,0
79,Kingzone_DragonX,KTRolster,0
80,Kingzone_DragonX,MVP,0
81,Kingzone_DragonX,MVP,0
82,Kingzone_DragonX,SKT1,0
83,Kingzone_DragonX,SKT1,0
84,KTRolster,MVP,0
85,KTRolster,MVP,0
86,KTRolster,SKT1,0
87,KTRolster,SKT1,1
88,MVP,SKT1,0
89,MVP,SKT1,1
