,Team 0,Team 1,Winner
0,Cherry_Esports,Cube_Adonis,1
1,Cherry_Esports,Cube_Adonis,1
2,Cherry_Esports,EVOS_Esports,1
3,Cherry_Esports,EVOS_Esports,1
4,Cherry_Esports,Friends_Forever_QTV_Gaming,1
5,Cherry_Esports,Friends_Forever_QTV_Gaming,1
6,Cherry_Esports,FTV_Esports,0
7,Cherry_Esports,FTV_Esports,1
8,Cherry_Esports,MES,0
9,Cherry_Esports,MES,1
10,Cherry_Esports,Phong_V%C5%A9_Buffalo,1
11,Cherry_Esports,Phong_V%C5%A9_Buffalo,1
12,Cherry_Esports,Vikings_Gaming,0
13,Cherry_Esports,Vikings_Gaming,1
14,Cube_Adonis,EVOS_Esports,0
15,Cube_Adonis,EVOS_Esports,0
16,Cube_Adonis,Friends_Forever_QTV_Gaming,1
17,Cube_Adonis,Friends_Forever_QTV_Gaming,1
18,Cube_Adonis,FTV_Esports,0
19,Cube_Adonis,FTV_Esports,1
20,Cube_Adonis,MES,0
21,Cube_Adonis,MES,1
22,Cube_Adonis,Phong_V%C5%A9_Buffalo,1
23,Cube_Adonis,Phong_V%C5%A9_Buffalo,1
24,Cube_Adonis,Vikings_Gaming,0
25,Cube_Adonis,Vikings_Gaming,0
26,EVOS_Esports,Friends_Forever_QTV_Gaming,1
27,EVOS_Esports,Friends_Forever_QTV_Gaming,1
28,EVOS_Esports,FTV_Esports,0
29,EVOS_Esports,FTV_Esports,0
30,EVOS_Esports,MES,0
31,EVOS_Esports,MES,1
32,EVOS_Esports,Phong_V%C5%A9_Buffalo,0
33,EVOS_Esports,Phong_V%C5%A9_Buffalo,1
34,EVOS_Esports,Vikings_Gaming,0
35,EVOS_Esports,Vikings_Gaming,0
36,Friends_Forever_QTV_Gaming,FTV_Esports,0
37,Friends_Forever_QTV_Gaming,FTV_Esports,1
38,Friends_Forever_QTV_Gaming,MES,0
39,Friends_Forever_QTV_Gaming,MES,0
40,Friends_Forever_QTV_Gaming,Phong_V%C5%A9_Buffalo,1
41,Friends_Forever_QTV_Gaming,Phong_V%C5%A9_Buffalo,1
42,Friends_Forever_QTV_Gaming,Vikings_Gaming,0
43,Friends_Forever_QTV_Gaming,Vikings_Gaming,0
44,FTV_Esports,MES,1
45,FTV_Esports,MES,1
46,FTV_Esports,Phong_V%C5%A9_Buffalo,1
47,FTV_Esports,Phong_V%C5%A9_Buffalo,1
48,FTV_Esports,Vikings_Gaming,0
49,FTV_Esports,Vikings_Gaming,0
50,MES,Phong_V%C5%A9_Buffalo,0
51,MES,Phong_V%C5%A9_Buffalo,1
52,MES,Vikings_Gaming,0
53,MES,Vikings_Gaming,0
54,Phong_V%C5%A9_Buffalo,Vikings_Gaming,0
55,Phong_V%C5%A9_Buffalo,Vikings_Gaming,0
