,Team,Player,Games,Wins,Losses,Winrate,Kills,Deaths,Assists,KDA,CS,CSPM,Gold,GPM,Kill Participation,Kill Share,Gold Share,Champions Played,Position
0,JD_Gaming,Clid,50,30,20,60.0,2.4,2.44,6.46,3.63,173.3,5.2,11.18,336,69.1,18.7,18.5,14,JG
1,JD_Gaming,LokeN,50,30,20,60.0,3.68,1.52,5.4,5.97,322.52,9.68,14.33,430,70.8,28.7,23.7,12,ADC
2,JD_Gaming,LvMao,50,30,20,60.0,0.76,2.68,8.14,3.32,42.34,1.27,8.13,244,69.4,5.9,13.4,11,Supp
3,JD_Gaming,YaGao,50,30,20,60.0,3.38,2.44,5.4,3.6,277.38,8.33,12.93,388,68.5,26.4,21.4,14,Mid
4,JD_Gaming,Zoom,50,30,20,60.0,2.6,2.0,5.56,4.08,299.9,9.0,13.72,412,63.7,20.3,22.7,12,Top
5,Invictus_Gaming,Ning,49,37,12,75.5,3.31,3.06,7.04,3.38,170.51,5.67,11.03,367,67.0,21.4,18.9,11,JG
6,Invictus_Gaming,Rookie,49,37,12,75.5,4.63,2.0,6.49,5.56,267.69,8.9,12.67,421,72.0,30.0,21.7,14,Mid
7,We,957,48,19,29,39.6,1.54,2.23,4.6,2.76,292.1,8.28,12.74,361,57.8,14.5,20.5,15,Top
8,Bilibili_Gaming,AmazingJ,48,18,30,37.5,1.48,2.98,5.08,2.2,280.65,8.48,12.32,372,65.2,14.7,21.3,13,Top
9,Invictus_Gaming,Baolan,48,36,12,75.0,0.92,2.15,8.9,4.57,52.21,1.75,7.77,261,65.2,6.1,13.4,9,Supp
10,Bilibili_Gaming,Jinjiao,48,18,30,37.5,2.58,2.5,4.75,2.93,305.52,9.23,13.32,402,72.9,25.7,23.1,14,ADC
11,Bilibili_Gaming,Road,48,18,30,37.5,1.04,3.21,6.6,2.38,58.73,1.77,8.56,259,76.0,10.4,14.8,11,Supp
12,We,Xiye,48,19,29,39.6,2.96,2.1,4.35,3.48,329.48,9.34,14.04,398,68.8,27.8,22.6,20,Mid
13,Topsports_Gaming,Cat (Wu Yao),47,23,24,48.9,0.98,3.09,7.53,2.76,71.77,2.1,8.89,260,67.0,7.7,14.4,10,Supp
